active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
TRUE,10/29/2017,27,12,GOLDEN STATE WARRIORS,HOME,DET,LOSS,2126,11,17,3,7,2,3,1,5,8,1,0,5,3,21.7
TRUE,10/30/2017,31,21,GOLDEN STATE WARRIORS,AWAY,LAC,WIN,1794,9,14,7,11,6,8,2,3,6,2,1,1,3,31
TRUE,11/2/2017,21,16,GOLDEN STATE WARRIORS,AWAY,SAS,WIN,1911,7,13,3,4,4,4,1,7,5,3,0,2,2,21.2
TRUE,11/4/2017,22,44,GOLDEN STATE WARRIORS,AWAY,DEN,WIN,1778,7,14,5,10,3,4,0,0,11,2,0,3,0,21.3
TRUE,11/6/2017,16,25,GOLDEN STATE WARRIORS,HOME,MIA,WIN,2033,5,19,2,9,4,5,0,5,4,2,0,1,3,8.4
TRUE,11/8/2017,22,16,GOLDEN STATE WARRIORS,HOME,MIN,WIN,1788,7,16,2,7,6,6,0,8,8,2,1,5,2,18.5
TRUE,11/11/2017,22,29,GOLDEN STATE WARRIORS,HOME,PHI,WIN,1794,5,12,3,8,9,9,0,4,9,1,0,2,0,22.1
TRUE,11/16/2017,9,-14,GOLDEN STATE WARRIORS,AWAY,BOS,LOSS,1864,3,14,2,9,1,2,2,4,5,4,0,4,5,4.1
TRUE,11/18/2017,35,3,GOLDEN STATE WARRIORS,AWAY,PHI,WIN,2079,11,22,4,9,9,9,0,5,5,0,1,2,1,27.3
TRUE,11/19/2017,39,4,GOLDEN STATE WARRIORS,AWAY,BKN,WIN,1959,14,24,4,10,7,8,3,8,7,3,0,7,6,30.4
TRUE,11/22/2017,24,-17,GOLDEN STATE WARRIORS,AWAY,OKC,LOSS,1849,9,18,3,8,3,3,1,4,6,1,0,6,1,15.7
TRUE,11/24/2017,33,39,GOLDEN STATE WARRIORS,HOME,CHI,WIN,1611,10,18,4,11,9,9,0,7,4,2,0,2,2,28.5
TRUE,11/25/2017,27,5,GOLDEN STATE WARRIORS,HOME,NOP,WIN,2188,9,25,3,13,6,6,0,4,6,1,0,1,2,17.7
TRUE,11/29/2017,28,4,GOLDEN STATE WARRIORS,AWAY,LAS,WIN,2364,9,20,3,9,7,8,0,5,7,0,0,5,4,17
TRUE,12/1/2017,23,19,GOLDEN STATE WARRIORS,AWAY,ORL,WIN,1983,9,20,3,8,2,2,1,5,10,3,0,4,2,20
TRUE,12/3/2017,30,20,GOLDEN STATE WARRIORS,AWAY,MIA,WIN,1819,11,16,5,9,3,4,0,2,3,2,0,0,1,27.1
